"4395A REV1.12"
"DATE: Apr 14 2013"



"CHANNEL: 1"
"MEASURE TYPE: A/B"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 801"
"SWEEP TIME:  1.882 s"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  15 dBm"
"IF BANDWIDTH:  3 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	-6.597599E+01	0.000000E+00
1.003750000000E+07	-7.596320E+01	0.000000E+00
1.007500000000E+07	-6.424197E+01	0.000000E+00
1.011250000000E+07	-6.889600E+01	0.000000E+00
1.015000000000E+07	-6.295065E+01	0.000000E+00
1.018750000000E+07	-5.383509E+01	0.000000E+00
1.022500000000E+07	-5.471411E+01	0.000000E+00
1.026250000000E+07	-6.702796E+01	0.000000E+00
1.030000000000E+07	-6.211377E+01	0.000000E+00
1.033750000000E+07	-6.696130E+01	0.000000E+00
1.037500000000E+07	-6.456469E+01	0.000000E+00
1.041250000000E+07	-6.962603E+01	0.000000E+00
1.045000000000E+07	-5.952837E+01	0.000000E+00
1.048750000000E+07	-6.401326E+01	0.000000E+00
1.052500000000E+07	-6.530338E+01	0.000000E+00
1.056250000000E+07	-6.631821E+01	0.000000E+00
1.060000000000E+07	-6.556178E+01	0.000000E+00
1.063750000000E+07	-6.605370E+01	0.000000E+00
1.067500000000E+07	-6.907417E+01	0.000000E+00
1.071250000000E+07	-6.986279E+01	0.000000E+00
1.075000000000E+07	-6.943238E+01	0.000000E+00
1.078750000000E+07	-6.368326E+01	0.000000E+00
1.082500000000E+07	-6.620197E+01	0.000000E+00
1.086250000000E+07	-7.608096E+01	0.000000E+00
1.090000000000E+07	-6.198527E+01	0.000000E+00
1.093750000000E+07	-6.907311E+01	0.000000E+00
1.097500000000E+07	-6.544652E+01	0.000000E+00
1.101250000000E+07	-7.065171E+01	0.000000E+00
1.105000000000E+07	-7.363820E+01	0.000000E+00
1.108750000000E+07	-6.686556E+01	0.000000E+00
1.112500000000E+07	-6.108956E+01	0.000000E+00
1.116250000000E+07	-7.114849E+01	0.000000E+00
1.120000000000E+07	-6.288064E+01	0.000000E+00
1.123750000000E+07	-7.738588E+01	0.000000E+00
1.127500000000E+07	-6.833928E+01	0.000000E+00
1.131250000000E+07	-6.812490E+01	0.000000E+00
1.135000000000E+07	-7.348337E+01	0.000000E+00
1.138750000000E+07	-6.859197E+01	0.000000E+00
1.142500000000E+07	-7.892148E+01	0.000000E+00
1.146250000000E+07	-6.659335E+01	0.000000E+00
1.150000000000E+07	-6.687945E+01	0.000000E+00
1.153750000000E+07	-6.777953E+01	0.000000E+00
1.157500000000E+07	-7.248288E+01	0.000000E+00
1.161250000000E+07	-6.954139E+01	0.000000E+00
1.165000000000E+07	-7.267058E+01	0.000000E+00
1.168750000000E+07	-6.562444E+01	0.000000E+00
1.172500000000E+07	-7.051151E+01	0.000000E+00
1.176250000000E+07	-7.027600E+01	0.000000E+00
1.180000000000E+07	-6.602901E+01	0.000000E+00
1.183750000000E+07	-6.340239E+01	0.000000E+00
1.187500000000E+07	-6.687707E+01	0.000000E+00
1.191250000000E+07	-6.460862E+01	0.000000E+00
1.195000000000E+07	-5.594822E+01	0.000000E+00
1.198750000000E+07	-5.511291E+01	0.000000E+00
1.202500000000E+07	-6.780112E+01	0.000000E+00
1.206250000000E+07	-7.631732E+01	0.000000E+00
1.210000000000E+07	-6.573862E+01	0.000000E+00
1.213750000000E+07	-6.771602E+01	0.000000E+00
1.217500000000E+07	-7.203366E+01	0.000000E+00
1.221250000000E+07	-6.871169E+01	0.000000E+00
1.225000000000E+07	-6.276712E+01	0.000000E+00
1.228750000000E+07	-6.878768E+01	0.000000E+00
1.232500000000E+07	-6.393203E+01	0.000000E+00
1.236250000000E+07	-6.360300E+01	0.000000E+00
1.240000000000E+07	-7.235262E+01	0.000000E+00
1.243750000000E+07	-7.218037E+01	0.000000E+00
1.247500000000E+07	-6.590693E+01	0.000000E+00
1.251250000000E+07	-5.655491E+01	0.000000E+00
1.255000000000E+07	-6.302988E+01	0.000000E+00
1.258750000000E+07	-6.281643E+01	0.000000E+00
1.262500000000E+07	-6.011154E+01	0.000000E+00
1.266250000000E+07	-6.471250E+01	0.000000E+00
1.270000000000E+07	-6.751318E+01	0.000000E+00
1.273750000000E+07	-6.787610E+01	0.000000E+00
1.277500000000E+07	-6.319758E+01	0.000000E+00
1.281250000000E+07	-6.697083E+01	0.000000E+00
1.285000000000E+07	-6.708691E+01	0.000000E+00
1.288750000000E+07	-6.395258E+01	0.000000E+00
1.292500000000E+07	-7.043593E+01	0.000000E+00
1.296250000000E+07	-6.863679E+01	0.000000E+00
1.300000000000E+07	-6.698349E+01	0.000000E+00
1.303750000000E+07	-7.283886E+01	0.000000E+00
1.307500000000E+07	-6.444141E+01	0.000000E+00
1.311250000000E+07	-6.760919E+01	0.000000E+00
1.315000000000E+07	-5.880619E+01	0.000000E+00
1.318750000000E+07	-6.766500E+01	0.000000E+00
1.322500000000E+07	-6.545522E+01	0.000000E+00
1.326250000000E+07	-7.101006E+01	0.000000E+00
1.330000000000E+07	-6.110363E+01	0.000000E+00
1.333750000000E+07	-6.257700E+01	0.000000E+00
1.337500000000E+07	-5.975284E+01	0.000000E+00
1.341250000000E+07	-6.298363E+01	0.000000E+00
1.345000000000E+07	-6.433524E+01	0.000000E+00
1.348750000000E+07	-6.396507E+01	0.000000E+00
1.352500000000E+07	-6.790142E+01	0.000000E+00
1.356250000000E+07	-6.998775E+01	0.000000E+00
1.360000000000E+07	-7.129144E+01	0.000000E+00
1.363750000000E+07	-6.673159E+01	0.000000E+00
1.367500000000E+07	-6.974076E+01	0.000000E+00
1.371250000000E+07	-6.945605E+01	0.000000E+00
1.375000000000E+07	-6.622086E+01	0.000000E+00
1.378750000000E+07	-5.745766E+01	0.000000E+00
1.382500000000E+07	-7.212080E+01	0.000000E+00
1.386250000000E+07	-6.404075E+01	0.000000E+00
1.390000000000E+07	-6.162284E+01	0.000000E+00
1.393750000000E+07	-6.544131E+01	0.000000E+00
1.397500000000E+07	-6.510954E+01	0.000000E+00
1.401250000000E+07	-6.565246E+01	0.000000E+00
1.405000000000E+07	-6.451838E+01	0.000000E+00
1.408750000000E+07	-6.739109E+01	0.000000E+00
1.412500000000E+07	-7.154160E+01	0.000000E+00
1.416250000000E+07	-6.962016E+01	0.000000E+00
1.420000000000E+07	-6.636078E+01	0.000000E+00
1.423750000000E+07	-7.147301E+01	0.000000E+00
1.427500000000E+07	-6.993179E+01	0.000000E+00
1.431250000000E+07	-7.592700E+01	0.000000E+00
1.435000000000E+07	-5.546439E+01	0.000000E+00
1.438750000000E+07	-7.989829E+01	0.000000E+00
1.442500000000E+07	-6.602502E+01	0.000000E+00
1.446250000000E+07	-7.815031E+01	0.000000E+00
1.450000000000E+07	-6.438415E+01	0.000000E+00
1.453750000000E+07	-7.240647E+01	0.000000E+00
1.457500000000E+07	-7.316737E+01	0.000000E+00
1.461250000000E+07	-6.408073E+01	0.000000E+00
1.465000000000E+07	-7.056912E+01	0.000000E+00
1.468750000000E+07	-5.752531E+01	0.000000E+00
1.472500000000E+07	-7.014156E+01	0.000000E+00
1.476250000000E+07	-6.919628E+01	0.000000E+00
1.480000000000E+07	-6.844063E+01	0.000000E+00
1.483750000000E+07	-7.008241E+01	0.000000E+00
1.487500000000E+07	-6.475557E+01	0.000000E+00
1.491250000000E+07	-6.704902E+01	0.000000E+00
1.495000000000E+07	-5.840181E+01	0.000000E+00
1.498750000000E+07	-6.124230E+01	0.000000E+00
1.502500000000E+07	-6.449522E+01	0.000000E+00
1.506250000000E+07	-6.872479E+01	0.000000E+00
1.510000000000E+07	-6.361296E+01	0.000000E+00
1.513750000000E+07	-6.501344E+01	0.000000E+00
1.517500000000E+07	-6.556300E+01	0.000000E+00
1.521250000000E+07	-6.749434E+01	0.000000E+00
1.525000000000E+07	-6.805605E+01	0.000000E+00
1.528750000000E+07	-6.692205E+01	0.000000E+00
1.532500000000E+07	-6.239931E+01	0.000000E+00
1.536250000000E+07	-6.500662E+01	0.000000E+00
1.540000000000E+07	-6.324469E+01	0.000000E+00
1.543750000000E+07	-6.559782E+01	0.000000E+00
1.547500000000E+07	-6.463964E+01	0.000000E+00
1.551250000000E+07	-6.976718E+01	0.000000E+00
1.555000000000E+07	-6.007130E+01	0.000000E+00
1.558750000000E+07	-5.953319E+01	0.000000E+00
1.562500000000E+07	-6.096723E+01	0.000000E+00
1.566250000000E+07	-6.547842E+01	0.000000E+00
1.570000000000E+07	-6.299852E+01	0.000000E+00
1.573750000000E+07	-6.868294E+01	0.000000E+00
1.577500000000E+07	-6.397299E+01	0.000000E+00
1.581250000000E+07	-7.216573E+01	0.000000E+00
1.585000000000E+07	-6.261087E+01	0.000000E+00
1.588750000000E+07	-5.675027E+01	0.000000E+00
1.592500000000E+07	-5.607853E+01	0.000000E+00
1.596250000000E+07	-6.016503E+01	0.000000E+00
1.600000000000E+07	-5.754290E+01	0.000000E+00
1.603750000000E+07	-6.071006E+01	0.000000E+00
1.607500000000E+07	-6.812699E+01	0.000000E+00
1.611250000000E+07	-6.824828E+01	0.000000E+00
1.615000000000E+07	-6.449095E+01	0.000000E+00
1.618750000000E+07	-6.685279E+01	0.000000E+00
1.622500000000E+07	-6.512463E+01	0.000000E+00
1.626250000000E+07	-6.828620E+01	0.000000E+00
1.630000000000E+07	-6.415912E+01	0.000000E+00
1.633750000000E+07	-6.655570E+01	0.000000E+00
1.637500000000E+07	-6.568943E+01	0.000000E+00
1.641250000000E+07	-6.421156E+01	0.000000E+00
1.645000000000E+07	-6.336958E+01	0.000000E+00
1.648750000000E+07	-6.420481E+01	0.000000E+00
1.652500000000E+07	-6.607596E+01	0.000000E+00
1.656250000000E+07	-6.719379E+01	0.000000E+00
1.660000000000E+07	-5.933249E+01	0.000000E+00
1.663750000000E+07	-6.613130E+01	0.000000E+00
1.667500000000E+07	-6.660826E+01	0.000000E+00
1.671250000000E+07	-8.755313E+01	0.000000E+00
1.675000000000E+07	-5.869329E+01	0.000000E+00
1.678750000000E+07	-6.948142E+01	0.000000E+00
1.682500000000E+07	-6.488716E+01	0.000000E+00
1.686250000000E+07	-6.516248E+01	0.000000E+00
1.690000000000E+07	-7.921967E+01	0.000000E+00
1.693750000000E+07	-6.636743E+01	0.000000E+00
1.697500000000E+07	-6.956139E+01	0.000000E+00
1.701250000000E+07	-6.806339E+01	0.000000E+00
1.705000000000E+07	-7.662543E+01	0.000000E+00
1.708750000000E+07	-6.264280E+01	0.000000E+00
1.712500000000E+07	-6.523151E+01	0.000000E+00
