"4395A REV1.12"
"DATE: Apr 14 2013"



"CHANNEL: 1"
"MEASURE TYPE: A/B"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 801"
"SWEEP TIME:  1.882 s"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  15 dBm"
"IF BANDWIDTH:  3 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	-6.537125E+01	0.000000E+00
1.003750000000E+07	-6.575249E+01	0.000000E+00
1.007500000000E+07	-6.566349E+01	0.000000E+00
1.011250000000E+07	-6.569903E+01	0.000000E+00
1.015000000000E+07	-6.558013E+01	0.000000E+00
1.018750000000E+07	-6.524455E+01	0.000000E+00
1.022500000000E+07	-6.539244E+01	0.000000E+00
1.026250000000E+07	-6.557866E+01	0.000000E+00
1.030000000000E+07	-6.547202E+01	0.000000E+00
1.033750000000E+07	-6.546408E+01	0.000000E+00
1.037500000000E+07	-6.581933E+01	0.000000E+00
1.041250000000E+07	-6.594109E+01	0.000000E+00
1.045000000000E+07	-6.605079E+01	0.000000E+00
1.048750000000E+07	-6.631934E+01	0.000000E+00
1.052500000000E+07	-6.642640E+01	0.000000E+00
1.056250000000E+07	-6.653445E+01	0.000000E+00
1.060000000000E+07	-6.692461E+01	0.000000E+00
1.063750000000E+07	-6.716760E+01	0.000000E+00
1.067500000000E+07	-6.725920E+01	0.000000E+00
1.071250000000E+07	-6.734110E+01	0.000000E+00
1.075000000000E+07	-6.794688E+01	0.000000E+00
1.078750000000E+07	-6.825627E+01	0.000000E+00
1.082500000000E+07	-6.838937E+01	0.000000E+00
1.086250000000E+07	-6.851138E+01	0.000000E+00
1.090000000000E+07	-6.893924E+01	0.000000E+00
1.093750000000E+07	-6.915398E+01	0.000000E+00
1.097500000000E+07	-6.935864E+01	0.000000E+00
1.101250000000E+07	-6.980773E+01	0.000000E+00
1.105000000000E+07	-7.035851E+01	0.000000E+00
1.108750000000E+07	-7.015340E+01	0.000000E+00
1.112500000000E+07	-7.037864E+01	0.000000E+00
1.116250000000E+07	-7.125931E+01	0.000000E+00
1.120000000000E+07	-7.106066E+01	0.000000E+00
1.123750000000E+07	-7.164424E+01	0.000000E+00
1.127500000000E+07	-7.186031E+01	0.000000E+00
1.131250000000E+07	-7.208875E+01	0.000000E+00
1.135000000000E+07	-7.192058E+01	0.000000E+00
1.138750000000E+07	-7.150523E+01	0.000000E+00
1.142500000000E+07	-7.208560E+01	0.000000E+00
1.146250000000E+07	-7.205727E+01	0.000000E+00
1.150000000000E+07	-7.119569E+01	0.000000E+00
1.153750000000E+07	-7.153819E+01	0.000000E+00
1.157500000000E+07	-7.151519E+01	0.000000E+00
1.161250000000E+07	-7.090279E+01	0.000000E+00
1.165000000000E+07	-6.996485E+01	0.000000E+00
1.168750000000E+07	-7.072364E+01	0.000000E+00
1.172500000000E+07	-7.024932E+01	0.000000E+00
1.176250000000E+07	-6.921873E+01	0.000000E+00
1.180000000000E+07	-6.982123E+01	0.000000E+00
1.183750000000E+07	-6.963119E+01	0.000000E+00
1.187500000000E+07	-6.897674E+01	0.000000E+00
1.191250000000E+07	-6.894349E+01	0.000000E+00
1.195000000000E+07	-6.875668E+01	0.000000E+00
1.198750000000E+07	-6.863158E+01	0.000000E+00
1.202500000000E+07	-6.835689E+01	0.000000E+00
1.206250000000E+07	-6.825458E+01	0.000000E+00
1.210000000000E+07	-6.802678E+01	0.000000E+00
1.213750000000E+07	-6.762642E+01	0.000000E+00
1.217500000000E+07	-6.740549E+01	0.000000E+00
1.221250000000E+07	-6.730772E+01	0.000000E+00
1.225000000000E+07	-6.706155E+01	0.000000E+00
1.228750000000E+07	-6.682392E+01	0.000000E+00
1.232500000000E+07	-6.641431E+01	0.000000E+00
1.236250000000E+07	-6.623096E+01	0.000000E+00
1.240000000000E+07	-6.615003E+01	0.000000E+00
1.243750000000E+07	-6.588004E+01	0.000000E+00
1.247500000000E+07	-6.580623E+01	0.000000E+00
1.251250000000E+07	-6.557391E+01	0.000000E+00
1.255000000000E+07	-6.556535E+01	0.000000E+00
1.258750000000E+07	-6.541070E+01	0.000000E+00
1.262500000000E+07	-6.540452E+01	0.000000E+00
1.266250000000E+07	-6.531197E+01	0.000000E+00
1.270000000000E+07	-6.527169E+01	0.000000E+00
1.273750000000E+07	-6.535952E+01	0.000000E+00
1.277500000000E+07	-6.517537E+01	0.000000E+00
1.281250000000E+07	-6.513873E+01	0.000000E+00
1.285000000000E+07	-6.515685E+01	0.000000E+00
1.288750000000E+07	-6.497993E+01	0.000000E+00
1.292500000000E+07	-6.488610E+01	0.000000E+00
1.296250000000E+07	-6.513155E+01	0.000000E+00
1.300000000000E+07	-6.495407E+01	0.000000E+00
1.303750000000E+07	-6.490836E+01	0.000000E+00
1.307500000000E+07	-6.516650E+01	0.000000E+00
1.311250000000E+07	-6.511815E+01	0.000000E+00
1.315000000000E+07	-6.503773E+01	0.000000E+00
1.318750000000E+07	-6.496867E+01	0.000000E+00
1.322500000000E+07	-6.514083E+01	0.000000E+00
1.326250000000E+07	-6.521709E+01	0.000000E+00
1.330000000000E+07	-6.510030E+01	0.000000E+00
1.333750000000E+07	-6.551192E+01	0.000000E+00
1.337500000000E+07	-6.559629E+01	0.000000E+00
1.341250000000E+07	-6.530877E+01	0.000000E+00
1.345000000000E+07	-6.556608E+01	0.000000E+00
1.348750000000E+07	-6.589239E+01	0.000000E+00
1.352500000000E+07	-6.614142E+01	0.000000E+00
1.356250000000E+07	-6.608361E+01	0.000000E+00
1.360000000000E+07	-6.645325E+01	0.000000E+00
1.363750000000E+07	-6.648566E+01	0.000000E+00
1.367500000000E+07	-6.637518E+01	0.000000E+00
1.371250000000E+07	-6.662478E+01	0.000000E+00
1.375000000000E+07	-6.715971E+01	0.000000E+00
1.378750000000E+07	-6.727643E+01	0.000000E+00
1.382500000000E+07	-6.699963E+01	0.000000E+00
1.386250000000E+07	-6.732657E+01	0.000000E+00
1.390000000000E+07	-6.753753E+01	0.000000E+00
1.393750000000E+07	-6.769398E+01	0.000000E+00
1.397500000000E+07	-6.790923E+01	0.000000E+00
1.401250000000E+07	-6.828877E+01	0.000000E+00
1.405000000000E+07	-6.898518E+01	0.000000E+00
1.408750000000E+07	-6.875041E+01	0.000000E+00
1.412500000000E+07	-6.917873E+01	0.000000E+00
1.416250000000E+07	-6.962276E+01	0.000000E+00
1.420000000000E+07	-6.950961E+01	0.000000E+00
1.423750000000E+07	-6.967622E+01	0.000000E+00
1.427500000000E+07	-6.987354E+01	0.000000E+00
1.431250000000E+07	-7.021201E+01	0.000000E+00
1.435000000000E+07	-6.980391E+01	0.000000E+00
1.438750000000E+07	-6.944189E+01	0.000000E+00
1.442500000000E+07	-6.947604E+01	0.000000E+00
1.446250000000E+07	-6.907709E+01	0.000000E+00
1.450000000000E+07	-6.881961E+01	0.000000E+00
1.453750000000E+07	-6.846999E+01	0.000000E+00
1.457500000000E+07	-6.817113E+01	0.000000E+00
1.461250000000E+07	-6.780557E+01	0.000000E+00
1.465000000000E+07	-6.759851E+01	0.000000E+00
1.468750000000E+07	-6.716087E+01	0.000000E+00
1.472500000000E+07	-6.715560E+01	0.000000E+00
1.476250000000E+07	-6.653011E+01	0.000000E+00
1.480000000000E+07	-6.667079E+01	0.000000E+00
1.483750000000E+07	-6.659483E+01	0.000000E+00
1.487500000000E+07	-6.593695E+01	0.000000E+00
1.491250000000E+07	-6.609052E+01	0.000000E+00
1.495000000000E+07	-6.607021E+01	0.000000E+00
1.498750000000E+07	-6.596671E+01	0.000000E+00
1.502500000000E+07	-6.576693E+01	0.000000E+00
1.506250000000E+07	-6.593337E+01	0.000000E+00
1.510000000000E+07	-6.588584E+01	0.000000E+00
1.513750000000E+07	-6.555515E+01	0.000000E+00
1.517500000000E+07	-6.551753E+01	0.000000E+00
1.521250000000E+07	-6.555978E+01	0.000000E+00
